order_item_id,order_id,product_id,quantity,unit_price,discount_percent
1,2,18,5,1566.96,0
2,34,4,2,4459.59,20
3,35,10,2,3063.67,10
4,88,9,2,2576.5,10
5,12,14,1,4163.81,0
6,43,5,1,3221.86,10
7,95,15,2,2803.23,15
8,2,4,5,468.69,5
9,5,12,5,2954.3,5
10,17,2,4,1610.47,0
11,27,8,3,3367.97,10
12,53,20,5,3772.44,5
13,23,14,2,221.45,10
14,86,8,4,1407.35,0
15,5,16,4,1189.93,15
16,40,8,3,1192.33,5
17,43,9,4,4335.33,10
18,83,17,3,2058.42,20
19,4,4,3,4397.49,10
20,75,9,2,287.46,20
21,45,11,4,2238.33,20
22,50,19,1,1031.39,0
23,1,17,4,4635.32,20
24,47,14,2,442.87,10
25,41,4,5,3626.8,10
26,40,14,5,1698.3,10
27,17,7,5,2160.19,15
28,79,19,2,1574.65,20
29,39,10,1,1129.9,20
30,84,11,-1,2378.44,15
31,66,16,2,3989.3,5
32,37,17,1,3352.88,20
33,12,8,3,3396.7,5
34,19,1,2,326.45,15
35,99,3,5,2331.54,20
36,92,13,2,2522.45,5
37,84,1,2,4474.03,0
38,29,6,4,4040.14,20
39,7,18,4,1321.07,0
40,18,15,4,3371.13,20
41,41,15,5,3102.0,20
42,71,15,4,4496.32,15
43,34,8,4,4215.33,10
44,63,8,5,1445.53,0
45,31,9,3,1745.65,20
46,18,5,1,1233.18,5
47,9,14,2,2097.24,20
48,54,2,4,1113.49,15
49,99,19,4,4735.7,0
50,49,16,5,128.89,10
51,97,13,3,4281.89,15
52,96,18,5,4019.35,5
53,29,9,4,2235.6,0
54,44,13,4,3648.49,15
55,80,18,2,232.14,15
56,73,1,5,511.34,15
57,60,6,2,346.39,15
58,28,15,3,1701.54,15
59,97,14,3,1336.13,0
60,3,18,-1,355.22,10
61,84,3,2,3928.04,0
62,32,7,1,4212.22,20
63,31,5,2,2420.45,0
64,28,15,5,3527.38,10
65,78,20,2,4822.3,0
66,40,4,2,2935.56,10
67,87,13,5,2043.61,5
68,76,8,1,599.32,10
69,16,19,5,3934.91,10
70,55,12,5,437.89,10
71,54,16,1,617.14,10
72,91,5,4,2233.89,20
73,79,18,3,3895.74,15
74,94,19,4,1415.14,5
75,36,15,1,1294.93,15
76,79,13,5,1748.34,15
77,24,16,3,1139.39,10
78,36,20,3,3535.8,10
79,2,17,5,4745.51,0
80,93,14,2,2494.03,5
81,83,16,4,2296.06,0
82,38,8,1,2081.57,5
83,85,19,3,1908.2,20
84,45,14,5,4983.49,20
85,46,15,3,1427.49,10
86,16,7,2,1646.18,20
87,25,7,2,3719.16,10
88,98,17,5,3024.27,0
89,38,8,2,1868.32,10
90,91,18,-1,720.26,0
91,71,10,1,3517.35,5
92,14,1,4,2912.91,15
93,57,11,4,1003.38,0
94,62,4,3,4128.37,15
95,10,19,4,3184.28,0
96,20,19,2,4750.72,0
97,16,18,2,3845.77,20
98,80,8,5,3900.9,15
99,57,10,4,4314.82,15
100,73,20,3,395.13,0
101,81,7,2,1396.77,0
102,31,6,2,2804.76,5
103,53,15,1,3477.92,15
104,5,8,3,1511.71,10
105,10,8,4,4627.16,20
106,55,4,2,2768.36,5
107,19,3,3,392.23,10
108,96,19,5,4613.84,15
109,60,10,1,3528.7,10
110,70,16,5,2245.02,20
111,56,11,1,3058.2,0
112,30,19,1,2976.9,0
113,74,2,3,3839.23,5
114,67,15,4,4588.76,5
115,56,16,5,4848.37,15
116,53,11,3,1673.19,0
117,43,14,2,3499.0,10
118,98,18,4,279.82,0
119,33,11,3,668.02,15
120,1,18,-1,2363.68,0
121,67,12,2,3150.91,15
122,98,2,4,1097.44,20
123,37,15,2,4416.15,15
124,4,20,1,4016.64,5
125,71,1,3,2806.03,0
126,15,15,2,4740.6,5
127,92,10,4,2593.47,10
128,62,16,4,1294.28,20
129,50,7,2,4617.15,20
130,9,9,2,3886.11,15
131,65,9,3,4120.69,10
132,76,19,3,4994.62,15
133,58,18,2,2473.27,10
134,98,18,5,1948.33,10
135,90,8,2,2901.81,5
136,6,11,4,3749.06,15
137,85,5,4,2527.11,0
138,65,19,2,1726.77,0
139,13,17,4,4561.16,0
140,53,5,2,466.66,10
141,80,13,3,3284.2,10
142,49,11,5,3171.32,15
143,5,20,5,435.26,10
144,96,3,2,2226.46,0
145,57,6,1,3500.61,0
146,42,2,1,1537.5,10
147,19,8,4,2702.71,20
148,22,6,2,486.94,15
149,88,8,5,2538.57,20
150,30,15,-1,3225.73,15
151,86,1,3,4504.65,15
152,87,18,3,874.08,15
153,76,10,3,3230.8,15
154,59,10,3,1076.16,15
155,14,8,4,1968.69,10
156,38,10,5,207.5,15
157,2,19,3,4338.83,0
158,96,16,5,4180.91,10
159,78,12,2,1173.12,5
160,33,5,5,3178.42,0
161,57,2,3,2939.91,5
162,38,11,1,3762.66,5
163,17,18,2,4394.66,10
164,65,9,5,4169.32,10
165,38,11,4,4040.74,15
166,19,8,1,4314.69,15
167,47,3,5,3974.34,0
168,69,4,3,2328.45,10
169,49,12,5,630.9,5
170,4,20,4,4432.75,20
171,79,8,3,3273.5,15
172,84,14,3,671.71,0
173,39,16,1,668.99,5
174,18,13,5,2322.85,20
175,76,5,4,4438.53,0
176,79,14,4,4701.36,10
177,89,12,1,1164.62,15
178,47,4,2,4906.55,10
179,83,12,5,396.7,10
180,16,15,-1,549.2,5
181,3,2,5,3955.29,5
182,73,7,2,436.19,20
183,76,7,2,4083.96,5
184,100,5,3,3964.35,20
185,36,5,1,4938.88,20
186,23,4,3,3339.18,0
187,2,12,2,3970.92,5
188,42,1,5,953.81,0
189,95,14,2,2677.82,0
190,58,12,4,2614.87,0
191,65,8,4,4732.54,0
192,39,15,5,3252.37,0
193,62,13,1,2188.74,0
194,92,15,4,460.1,0
195,78,5,3,421.84,10
196,82,19,5,2786.95,10
197,77,17,4,1545.0,20
198,56,4,5,3986.17,0
199,93,7,5,2207.34,5
200,44,15,4,2053.78,0
